output_id,prediction_proba,risk_category,prediction_label,log_odds,threshold,prediction_timestamp
17937,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 15:11:16.298982+00:00
17936,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 15:11:16.267205+00:00
17935,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 15:11:15.271862+00:00
17934,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 15:11:15.223407+00:00
17933,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 15:11:15.178670+00:00
17932,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 15:11:15.109368+00:00
17931,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 15:11:14.782379+00:00
17930,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 15:11:14.710573+00:00
17929,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 15:11:14.643127+00:00
17928,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 15:11:14.511344+00:00
17927,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 14:22:34.604904+00:00
17926,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 14:22:34.567117+00:00
17925,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 14:22:34.521614+00:00
17924,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 14:22:34.485159+00:00
17923,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 14:22:33.039667+00:00
17922,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 14:22:32.996966+00:00
17921,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 14:22:32.956706+00:00
17920,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 14:22:32.880374+00:00
17919,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-10 14:22:32.468167+00:00
17918,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-10 14:22:32.444065+00:00
17917,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-10 14:22:32.418809+00:00
17916,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-10 14:22:32.351065+00:00
17915,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-05 21:13:35.371407+00:00
17914,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-05 21:13:35.332652+00:00
17913,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-05 21:13:35.292935+00:00
17912,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-05 21:13:35.249022+00:00
17911,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-05 21:13:33.956310+00:00
17910,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-05 21:13:33.903366+00:00
17909,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-05 21:13:33.857018+00:00
17908,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-05 21:13:33.776688+00:00
17907,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-05 21:13:33.397093+00:00
17906,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-05 21:13:33.366883+00:00
17905,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-05 21:13:33.331073+00:00
17904,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-05 21:13:33.270066+00:00
17903,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-05 20:55:40.100495+00:00
17902,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-05 20:55:40.072276+00:00
17901,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-05 20:55:40.047775+00:00
17900,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-05 20:55:40.026370+00:00
17899,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-05 20:55:39.303968+00:00
17898,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-05 20:55:39.276926+00:00
17897,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-05 20:55:39.253596+00:00
17896,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-05 20:55:39.206874+00:00
17895,0.4540652391294191,Medium,Stay,-0.18425859678026343,0.5,2025-12-05 20:55:39.060072+00:00
17894,0.9534934095354731,High,Leave,3.02053848017984,0.5,2025-12-05 20:55:39.045065+00:00
17893,0.08273261645181838,Low,Stay,-2.4057850957673867,0.5,2025-12-05 20:55:39.028713+00:00
17892,0.9469158923394367,High,Leave,2.881332681704372,0.5,2025-12-05 20:55:38.986292+00:00
17891,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:37.618246+00:00
17890,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:37.610823+00:00
17889,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:37.599202+00:00
17888,0.8382334352540288,High,Leave,1.645142286351146,0.5,2025-12-05 18:46:37.436327+00:00
17887,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:36.785857+00:00
17886,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:36.127736+00:00
17885,0.8336570961937694,High,Leave,1.6117708188267503,0.5,2025-12-05 18:46:35.931036+00:00
17884,0.8336524498370215,High,Leave,1.6117373133372674,0.5,2025-12-05 18:46:35.909042+00:00
17883,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:35.883748+00:00
17882,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:35.717092+00:00
17881,0.8336617424466319,High,Leave,1.6118043243162332,0.5,2025-12-05 18:46:34.330343+00:00
17880,0.8336570961937694,High,Leave,1.6117708188267503,0.5,2025-12-05 18:46:34.309279+00:00
17879,0.8336524498370215,High,Leave,1.6117373133372674,0.5,2025-12-05 18:46:34.284794+00:00
17878,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:34.249184+00:00
17877,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:33.734064+00:00
17876,0.8336478033763877,High,Leave,1.611703807847786,0.5,2025-12-05 18:46:33.232859+00:00
