nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
0,3,1,49,2,3,Marketing,Y,Occasionnel,2,2
1,3,1,51,5,4,Infra & Cloud,Y,Occasionnel,0,0
2,3,1,52,1,3,Infra & Cloud,Y,Frequent,1,3
1,3,1,53,4,2,Autre,Y,Occasionnel,0,0
1,6,1,54,2,4,Infra & Cloud,Y,Occasionnel,0,0
0,2,1,55,25,3,Infra & Cloud,Y,Occasionnel,0,1
0,0,1,56,8,3,Infra & Cloud,Y,Frequent,1,7
0,2,1,57,1,2,Transformation Digitale,Y,Frequent,3,7
0,0,1,58,12,3,Entrepreunariat,Y,Occasionnel,15,8
0,2,1,60,23,4,Marketing,Y,Aucun,8,7
0,1,1,61,19,2,Infra & Cloud,Y,Occasionnel,0,0
0,4,1,62,5,4,Marketing,Y,Frequent,0,8
0,2,1,63,8,1,Infra & Cloud,Y,Occasionnel,0,1
0,2,1,64,1,2,Infra & Cloud,Y,Occasionnel,0,0
0,3,1,65,5,4,Entrepreunariat,Y,Occasionnel,2,2
1,2,1,68,1,5,Marketing,Y,Occasionnel,1,3
1,3,1,70,11,2,Transformation Digitale,Y,Aucun,2,3
1,2,1,72,23,3,Marketing,Y,Occasionnel,0,0
0,1,1,73,1,2,Infra & Cloud,Y,Frequent,8,12
1,3,1,74,18,5,Infra & Cloud,Y,Frequent,1,8
1,3,1,75,23,4,Transformation Digitale,Y,Occasionnel,2,2
1,3,1,76,7,4,Infra & Cloud,Y,Occasionnel,1,7
1,2,1,77,1,4,Infra & Cloud,Y,Occasionnel,0,7
1,3,1,78,1,3,Transformation Digitale,Y,Occasionnel,7,8
0,2,1,79,29,5,Infra & Cloud,Y,Frequent,9,9
1,2,1,80,7,2,Transformation Digitale,Y,Occasionnel,13,8
0,3,1,81,25,3,Infra & Cloud,Y,Occasionnel,7,9
3,2,1,83,8,3,Entrepreunariat,Y,Occasionnel,12,8
3,2,1,84,8,3,Transformation Digitale,Y,Occasionnel,0,2
0,3,1,85,11,3,Infra & Cloud,Y,Frequent,0,3
1,2,1,86,7,3,Infra & Cloud,Y,Occasionnel,0,0
1,2,1,88,1,3,Transformation Digitale,Y,Frequent,1,2
1,0,1,90,9,3,Transformation Digitale,Y,Occasionnel,0,0
0,2,1,91,1,1,Infra & Cloud,Y,Frequent,1,3
1,3,1,94,2,3,Infra & Cloud,Y,Occasionnel,0,4
0,4,1,95,1,4,Transformation Digitale,Y,Occasionnel,1,0
2,3,1,96,1,3,Infra & Cloud,Y,Occasionnel,0,9
0,3,1,97,6,3,Infra & Cloud,Y,Occasionnel,0,0
0,2,1,98,8,4,Infra & Cloud,Y,Occasionnel,1,8
0,2,1,100,1,4,Marketing,Y,Occasionnel,2,8
0,3,1,101,6,4,Autre,Y,Occasionnel,0,0
0,3,1,102,7,4,Transformation Digitale,Y,Occasionnel,0,2
1,2,1,103,5,2,Transformation Digitale,Y,Occasionnel,0,2
2,1,1,104,1,1,Infra & Cloud,Y,Occasionnel,3,0
0,3,1,105,1,3,Transformation Digitale,Y,Occasionnel,0,4
1,4,1,106,1,2,Infra & Cloud,Y,Occasionnel,1,0
3,3,1,107,6,3,Transformation Digitale,Y,Aucun,1,9
0,2,1,110,1,2,Transformation Digitale,Y,Occasionnel,1,3
0,3,1,112,7,3,Infra & Cloud,Y,Occasionnel,0,2
1,3,1,113,2,1,Entrepreunariat,Y,Occasionnel,0,0
2,4,1,116,9,4,Infra & Cloud,Y,Occasionnel,0,3
3,3,1,117,2,3,Infra & Cloud,Y,Occasionnel,10,8
0,3,1,118,9,2,Transformation Digitale,Y,Occasionnel,4,7
1,3,1,119,1,4,Infra & Cloud,Y,Frequent,11,11
0,2,1,120,21,4,Marketing,Y,Occasionnel,1,0
3,4,1,121,4,2,Transformation Digitale,Y,Occasionnel,2,7
1,5,1,124,1,3,Transformation Digitale,Y,Frequent,9,5
0,0,1,125,6,4,Transformation Digitale,Y,Occasionnel,5,7
1,5,1,126,2,4,Entrepreunariat,Y,Occasionnel,0,3
1,2,1,128,3,2,Autre,Y,Occasionnel,0,2
0,3,1,129,4,3,Transformation Digitale,Y,Aucun,0,4
0,1,1,131,10,4,Transformation Digitale,Y,Occasionnel,1,8
1,3,1,132,23,3,Transformation Digitale,Y,Aucun,1,2
0,3,1,133,6,4,Ressources Humaines,Y,Occasionnel,0,2
0,2,1,134,1,1,Infra & Cloud,Y,Occasionnel,0,0
0,5,1,137,6,3,Infra & Cloud,Y,Frequent,1,0
0,3,1,138,6,4,Autre,Y,Occasionnel,2,10
1,2,1,139,2,2,Infra & Cloud,Y,Aucun,0,0
1,3,1,140,2,4,Ressources Humaines,Y,Aucun,2,2
0,1,1,141,1,3,Infra & Cloud,Y,Frequent,0,7
0,1,1,142,5,3,Marketing,Y,Occasionnel,0,3
2,2,1,143,7,1,Transformation Digitale,Y,Occasionnel,2,1
0,5,1,144,15,3,Transformation Digitale,Y,Occasionnel,0,0
0,1,1,145,1,4,Transformation Digitale,Y,Frequent,12,8
0,3,1,147,7,3,Infra & Cloud,Y,Frequent,0,6
0,3,1,148,26,3,Ressources Humaines,Y,Aucun,4,4
1,2,1,150,18,1,Infra & Cloud,Y,Occasionnel,1,2
1,3,1,151,6,4,Infra & Cloud,Y,Occasionnel,0,0
0,3,1,152,3,3,Infra & Cloud,Y,Occasionnel,1,3
0,6,1,153,5,3,Transformation Digitale,Y,Occasionnel,5,8
1,6,1,154,11,2,Entrepreunariat,Y,Frequent,2,8
1,2,1,155,3,2,Infra & Cloud,Y,Occasionnel,0,0
2,3,1,158,26,2,Infra & Cloud,Y,Frequent,4,12
3,2,1,159,23,3,Infra & Cloud,Y,Frequent,0,9
1,2,1,160,22,2,Marketing,Y,Aucun,0,7
3,2,1,161,14,4,Infra & Cloud,Y,Occasionnel,4,3
0,5,1,162,6,3,Infra & Cloud,Y,Occasionnel,15,15
0,3,1,163,6,4,Infra & Cloud,Y,Occasionnel,7,7
0,3,1,164,6,3,Autre,Y,Occasionnel,4,3
1,3,1,165,23,4,Transformation Digitale,Y,Occasionnel,15,6
0,2,1,167,22,1,Marketing,Y,Occasionnel,0,0
1,2,1,169,2,1,Entrepreunariat,Y,Occasionnel,2,1
0,2,1,170,20,4,Transformation Digitale,Y,Occasionnel,5,11
0,2,1,171,28,3,Transformation Digitale,Y,Frequent,1,2
0,3,1,174,12,3,Marketing,Y,Frequent,2,1
1,2,1,175,20,3,Infra & Cloud,Y,Occasionnel,2,2
1,2,1,176,9,1,Infra & Cloud,Y,Occasionnel,0,7
1,3,1,177,25,1,Infra & Cloud,Y,Occasionnel,5,7
2,0,1,178,6,2,Transformation Digitale,Y,Occasionnel,0,1
0,2,1,179,8,4,Infra & Cloud,Y,Frequent,0,3
1,1,1,182,4,4,Infra & Cloud,Y,Occasionnel,5,9
0,3,1,183,28,3,Infra & Cloud,Y,Occasionnel,2,2
0,2,1,184,9,3,Ressources Humaines,Y,Occasionnel,4,7
0,2,1,190,9,3,Transformation Digitale,Y,Occasionnel,0,4
0,2,1,192,29,3,Transformation Digitale,Y,Occasionnel,0,3
0,2,1,193,3,5,Entrepreunariat,Y,Occasionnel,2,2
0,4,1,194,18,3,Infra & Cloud,Y,Occasionnel,0,4
3,2,1,195,9,2,Transformation Digitale,Y,Frequent,0,7
1,3,1,197,5,3,Entrepreunariat,Y,Occasionnel,2,2
0,3,1,198,2,1,Transformation Digitale,Y,Occasionnel,1,2
1,2,1,199,10,3,Infra & Cloud,Y,Frequent,7,7
1,2,1,200,9,4,Infra & Cloud,Y,Occasionnel,1,4
0,3,1,201,3,1,Transformation Digitale,Y,Occasionnel,0,0
1,2,1,202,26,3,Transformation Digitale,Y,Frequent,2,13
2,3,1,204,1,5,Marketing,Y,Occasionnel,0,6
1,3,1,205,6,2,Marketing,Y,Occasionnel,4,5
1,2,1,206,9,3,Infra & Cloud,Y,Occasionnel,0,15
0,2,1,207,8,3,Marketing,Y,Frequent,3,7
1,1,1,208,1,1,Entrepreunariat,Y,Aucun,0,9
0,2,1,211,7,4,Transformation Digitale,Y,Occasionnel,0,0
1,3,1,214,9,3,Transformation Digitale,Y,Occasionnel,0,0
1,2,1,215,4,4,Marketing,Y,Occasionnel,2,11
1,3,1,216,2,4,Marketing,Y,Frequent,1,2
2,6,1,217,19,1,Transformation Digitale,Y,Occasionnel,2,2
1,1,1,218,9,3,Transformation Digitale,Y,Aucun,2,2
1,2,1,221,21,3,Transformation Digitale,Y,Occasionnel,0,2
1,2,1,223,24,2,Infra & Cloud,Y,Occasionnel,1,4
1,2,1,224,3,3,Transformation Digitale,Y,Aucun,0,1
0,5,1,226,11,3,Infra & Cloud,Y,Occasionnel,4,4
1,2,1,227,14,3,Infra & Cloud,Y,Occasionnel,1,8
1,2,1,228,5,3,Infra & Cloud,Y,Occasionnel,7,4
0,2,1,230,1,4,Infra & Cloud,Y,Occasionnel,0,7
0,2,1,231,6,5,Infra & Cloud,Y,Occasionnel,1,4
1,3,1,233,17,3,Entrepreunariat,Y,Occasionnel,1,1
0,5,1,235,1,1,Entrepreunariat,Y,Frequent,0,0
0,3,1,238,3,2,Transformation Digitale,Y,Frequent,7,2
2,4,1,239,9,3,Transformation Digitale,Y,Aucun,6,10
1,3,1,240,4,2,Infra & Cloud,Y,Occasionnel,0,3
1,3,1,241,8,3,Infra & Cloud,Y,Occasionnel,2,2
0,2,1,242,2,3,Infra & Cloud,Y,Occasionnel,0,2
0,3,1,243,2,3,Infra & Cloud,Y,Occasionnel,1,0
3,2,1,244,1,2,Marketing,Y,Occasionnel,15,7
0,3,1,245,9,2,Infra & Cloud,Y,Occasionnel,2,1
1,0,1,246,12,1,Transformation Digitale,Y,Occasionnel,0,2
0,3,1,247,27,2,Transformation Digitale,Y,Occasionnel,1,2
0,5,1,248,20,2,Marketing,Y,Occasionnel,0,2
1,2,1,249,1,3,Transformation Digitale,Y,Occasionnel,0,2
2,3,1,250,13,2,Transformation Digitale,Y,Occasionnel,1,3
1,5,1,252,14,3,Transformation Digitale,Y,Occasionnel,1,6
1,2,1,253,4,1,Transformation Digitale,Y,Occasionnel,9,9
0,3,1,254,14,4,Transformation Digitale,Y,Occasionnel,2,15
0,2,1,256,2,1,Infra & Cloud,Y,Frequent,1,9
0,6,1,258,3,3,Transformation Digitale,Y,Occasionnel,1,0
1,5,1,259,1,4,Infra & Cloud,Y,Occasionnel,11,9
0,2,1,260,9,3,Transformation Digitale,Y,Occasionnel,0,3
0,1,1,261,23,2,Infra & Cloud,Y,Occasionnel,0,1
3,3,1,262,7,3,Transformation Digitale,Y,Aucun,2,2
1,1,1,264,2,2,Transformation Digitale,Y,Aucun,11,8
1,3,1,267,21,3,Infra & Cloud,Y,Occasionnel,1,7
0,5,1,269,2,3,Transformation Digitale,Y,Frequent,1,2
1,5,1,270,21,2,Transformation Digitale,Y,Aucun,0,2
0,3,1,271,2,4,Infra & Cloud,Y,Occasionnel,0,0
1,3,1,273,29,3,Entrepreunariat,Y,Occasionnel,1,7
1,1,1,274,1,1,Entrepreunariat,Y,Frequent,2,0
2,0,1,275,18,4,Infra & Cloud,Y,Aucun,1,7
1,4,1,277,10,4,Transformation Digitale,Y,Frequent,2,0
1,2,1,281,19,2,Transformation Digitale,Y,Occasionnel,3,7
0,2,1,282,29,1,Transformation Digitale,Y,Occasionnel,0,0
3,3,1,283,27,3,Marketing,Y,Occasionnel,1,9
1,2,1,284,5,3,Infra & Cloud,Y,Occasionnel,2,2
0,2,1,286,18,1,Transformation Digitale,Y,Frequent,1,7
1,5,1,287,9,5,Infra & Cloud,Y,Aucun,0,2
1,3,1,288,1,4,Transformation Digitale,Y,Occasionnel,0,3
0,2,1,291,4,4,Transformation Digitale,Y,Occasionnel,9,8
0,2,1,292,1,1,Infra & Cloud,Y,Aucun,5,8
0,2,1,293,20,3,Infra & Cloud,Y,Frequent,0,7
2,5,1,296,8,4,Infra & Cloud,Y,Occasionnel,4,7
0,5,1,297,3,3,Entrepreunariat,Y,Occasionnel,0,4
0,3,1,298,6,3,Infra & Cloud,Y,Occasionnel,0,0
0,5,1,299,26,4,Marketing,Y,Frequent,0,1
0,1,1,300,1,3,Entrepreunariat,Y,Occasionnel,1,5
0,2,1,302,6,3,Transformation Digitale,Y,Aucun,12,8
1,4,1,303,3,3,Marketing,Y,Occasionnel,0,5
0,3,1,304,5,2,Infra & Cloud,Y,Occasionnel,3,7
0,3,1,305,4,4,Transformation Digitale,Y,Occasionnel,1,1
3,1,1,306,11,3,Autre,Y,Frequent,0,7
2,6,1,307,3,3,Infra & Cloud,Y,Occasionnel,5,13
1,2,1,308,1,4,Transformation Digitale,Y,Aucun,1,4
1,6,1,309,3,3,Infra & Cloud,Y,Occasionnel,0,0
1,2,1,311,4,4,Marketing,Y,Frequent,5,8
1,5,1,312,1,1,Transformation Digitale,Y,Frequent,4,1
0,3,1,314,1,3,Marketing,Y,Frequent,0,8
0,3,1,315,18,1,Transformation Digitale,Y,Occasionnel,0,1
0,3,1,316,2,3,Infra & Cloud,Y,Occasionnel,2,2
0,3,1,319,4,2,Entrepreunariat,Y,Occasionnel,11,15
0,2,1,321,6,2,Transformation Digitale,Y,Occasionnel,2,2
1,3,1,323,1,4,Transformation Digitale,Y,Occasionnel,0,6
1,2,1,325,14,3,Transformation Digitale,Y,Occasionnel,0,4
1,3,1,327,16,3,Marketing,Y,Occasionnel,1,9
0,3,1,328,2,2,Infra & Cloud,Y,Occasionnel,1,7
0,2,1,329,2,4,Infra & Cloud,Y,Aucun,15,12
1,5,1,330,4,2,Infra & Cloud,Y,Occasionnel,1,2
0,2,1,331,1,3,Infra & Cloud,Y,Occasionnel,1,2
3,1,1,332,1,4,Transformation Digitale,Y,Occasionnel,1,2
0,2,1,333,26,4,Marketing,Y,Aucun,2,2
2,2,1,334,19,2,Infra & Cloud,Y,Occasionnel,0,0
2,3,1,335,24,2,Entrepreunariat,Y,Occasionnel,4,7
1,2,1,336,1,3,Autre,Y,Occasionnel,1,7
1,3,1,337,3,4,Transformation Digitale,Y,Frequent,2,2
1,2,1,338,5,4,Infra & Cloud,Y,Occasionnel,0,2
1,3,1,339,2,4,Infra & Cloud,Y,Occasionnel,5,9
1,2,1,340,1,2,Transformation Digitale,Y,Occasionnel,0,2
1,1,1,341,7,4,Infra & Cloud,Y,Frequent,0,2
2,5,1,342,10,3,Transformation Digitale,Y,Frequent,0,0
0,1,1,343,2,4,Entrepreunariat,Y,Frequent,11,8
0,1,1,346,15,3,Infra & Cloud,Y,Occasionnel,1,5
0,1,1,347,17,2,Infra & Cloud,Y,Occasionnel,0,2
1,2,1,349,20,2,Marketing,Y,Occasionnel,0,2
2,3,1,350,1,3,Infra & Cloud,Y,Occasionnel,1,2
1,4,1,351,2,3,Transformation Digitale,Y,Occasionnel,7,8
1,5,1,352,2,2,Transformation Digitale,Y,Occasionnel,3,9
0,0,1,353,1,3,Infra & Cloud,Y,Occasionnel,0,0
0,2,1,355,29,2,Transformation Digitale,Y,Frequent,1,4
0,3,1,359,7,3,Infra & Cloud,Y,Frequent,0,3
1,0,1,361,2,2,Infra & Cloud,Y,Aucun,7,5
0,5,1,362,2,1,Entrepreunariat,Y,Occasionnel,0,4
1,2,1,363,2,3,Entrepreunariat,Y,Occasionnel,7,7
0,5,1,364,2,4,Infra & Cloud,Y,Occasionnel,0,0
2,2,1,366,2,3,Transformation Digitale,Y,Occasionnel,0,0
1,2,1,367,23,3,Transformation Digitale,Y,Occasionnel,7,8
2,2,1,369,5,2,Infra & Cloud,Y,Aucun,1,5
0,2,1,372,20,2,Transformation Digitale,Y,Occasionnel,4,10
1,4,1,373,6,3,Infra & Cloud,Y,Occasionnel,10,11
0,2,1,374,1,3,Transformation Digitale,Y,Occasionnel,4,13
1,2,1,376,29,4,Infra & Cloud,Y,Aucun,9,9
1,3,1,377,9,3,Transformation Digitale,Y,Occasionnel,0,4
1,5,1,378,6,4,Transformation Digitale,Y,Occasionnel,0,1
0,4,1,379,3,2,Transformation Digitale,Y,Occasionnel,1,0
2,2,1,380,1,4,Transformation Digitale,Y,Aucun,0,2
1,6,1,381,22,3,Infra & Cloud,Y,Occasionnel,6,2
1,3,1,382,7,2,Transformation Digitale,Y,Occasionnel,7,7
1,6,1,384,1,3,Infra & Cloud,Y,Frequent,1,4
2,4,1,385,4,1,Infra & Cloud,Y,Occasionnel,1,6
3,5,1,386,3,4,Transformation Digitale,Y,Occasionnel,1,3
0,3,1,387,1,1,Infra & Cloud,Y,Occasionnel,11,6
0,3,1,388,2,2,Infra & Cloud,Y,Frequent,0,9
1,4,1,389,20,2,Entrepreunariat,Y,Occasionnel,0,8
1,3,1,390,11,2,Transformation Digitale,Y,Frequent,3,3
0,3,1,391,1,3,Infra & Cloud,Y,Occasionnel,5,7
1,0,1,392,24,3,Infra & Cloud,Y,Frequent,0,0
1,2,1,393,23,4,Infra & Cloud,Y,Occasionnel,1,2
1,2,1,394,16,4,Transformation Digitale,Y,Occasionnel,0,2
0,3,1,395,8,2,Infra & Cloud,Y,Occasionnel,0,2
0,4,1,396,10,4,Infra & Cloud,Y,Frequent,1,2
0,2,1,397,3,3,Entrepreunariat,Y,Occasionnel,7,7
1,5,1,399,5,3,Marketing,Y,Frequent,2,2
0,0,1,401,4,4,Marketing,Y,Occasionnel,7,4
3,3,1,403,9,3,Transformation Digitale,Y,Frequent,1,2
1,2,1,404,26,3,Marketing,Y,Frequent,4,8
0,2,1,405,3,3,Infra & Cloud,Y,Occasionnel,0,0
2,3,1,406,16,3,Marketing,Y,Occasionnel,6,9
2,2,1,407,18,4,Infra & Cloud,Y,Frequent,0,0
1,3,1,408,2,3,Transformation Digitale,Y,Occasionnel,1,2
0,2,1,410,2,4,Infra & Cloud,Y,Occasionnel,0,4
0,2,1,411,10,3,Transformation Digitale,Y,Occasionnel,0,0
0,2,1,412,16,2,Transformation Digitale,Y,Occasionnel,0,7
1,3,1,416,7,3,Entrepreunariat,Y,Occasionnel,7,7
3,5,1,417,1,3,Transformation Digitale,Y,Occasionnel,3,7
1,3,1,419,24,4,Infra & Cloud,Y,Aucun,0,8
1,3,1,420,7,3,Infra & Cloud,Y,Occasionnel,4,8
1,2,1,421,25,2,Infra & Cloud,Y,Occasionnel,0,1
1,2,1,422,1,4,Infra & Cloud,Y,Aucun,1,2
1,4,1,423,5,4,Entrepreunariat,Y,Occasionnel,0,3
0,1,1,424,2,3,Ressources Humaines,Y,Occasionnel,1,0
1,2,1,425,7,3,Infra & Cloud,Y,Frequent,9,11
1,2,1,426,2,4,Infra & Cloud,Y,Occasionnel,2,2
2,2,1,428,5,4,Infra & Cloud,Y,Frequent,8,8
0,3,1,429,10,1,Transformation Digitale,Y,Occasionnel,11,10
0,5,1,430,10,4,Infra & Cloud,Y,Frequent,1,7
0,2,1,431,1,2,Entrepreunariat,Y,Occasionnel,0,7
0,3,1,433,8,4,Transformation Digitale,Y,Occasionnel,7,7
0,2,1,434,5,3,Infra & Cloud,Y,Occasionnel,1,2
0,2,1,436,8,2,Entrepreunariat,Y,Occasionnel,11,9
0,3,1,437,2,3,Infra & Cloud,Y,Occasionnel,0,4
3,3,1,438,7,3,Marketing,Y,Occasionnel,1,7
0,0,1,439,2,4,Transformation Digitale,Y,Occasionnel,0,7
0,4,1,440,2,4,Transformation Digitale,Y,Occasionnel,2,2
2,2,1,441,28,2,Transformation Digitale,Y,Occasionnel,1,9
1,2,1,442,7,2,Infra & Cloud,Y,Frequent,8,9
1,2,1,444,7,2,Transformation Digitale,Y,Frequent,13,3
0,3,1,445,3,2,Transformation Digitale,Y,Occasionnel,0,0
0,6,1,446,10,3,Marketing,Y,Frequent,0,1
1,2,1,447,5,5,Infra & Cloud,Y,Occasionnel,1,1
1,3,1,448,10,4,Infra & Cloud,Y,Frequent,0,0
1,0,1,449,1,1,Marketing,Y,Aucun,1,4
0,4,1,450,20,4,Infra & Cloud,Y,Frequent,0,3
1,1,1,451,7,3,Infra & Cloud,Y,Occasionnel,0,0
2,3,1,452,8,4,Autre,Y,Occasionnel,9,8
3,2,1,453,1,2,Transformation Digitale,Y,Occasionnel,0,2
0,4,1,454,8,4,Autre,Y,Occasionnel,0,7
0,2,1,455,9,5,Autre,Y,Occasionnel,2,2
3,2,1,456,5,3,Marketing,Y,Occasionnel,1,2
1,3,1,458,8,4,Marketing,Y,Occasionnel,0,7
2,2,1,460,5,2,Transformation Digitale,Y,Occasionnel,0,4
1,3,1,461,15,2,Infra & Cloud,Y,Occasionnel,2,9
0,2,1,462,7,4,Transformation Digitale,Y,Occasionnel,4,10
2,2,1,463,10,1,Marketing,Y,Occasionnel,1,7
0,5,1,464,5,4,Entrepreunariat,Y,Occasionnel,0,13
2,2,1,465,26,1,Infra & Cloud,Y,Occasionnel,0,2
0,3,1,466,6,3,Transformation Digitale,Y,Occasionnel,1,2
0,3,1,467,4,1,Transformation Digitale,Y,Frequent,0,0
0,2,1,468,23,5,Infra & Cloud,Y,Occasionnel,0,0
1,3,1,469,2,3,Infra & Cloud,Y,Aucun,0,2
1,5,1,470,2,1,Entrepreunariat,Y,Occasionnel,1,0
1,4,1,471,2,3,Transformation Digitale,Y,Occasionnel,0,7
1,3,1,473,29,1,Transformation Digitale,Y,Occasionnel,0,0
2,2,1,474,6,3,Transformation Digitale,Y,Occasionnel,6,7
1,2,1,475,25,2,Entrepreunariat,Y,Aucun,2,2
1,3,1,476,1,3,Infra & Cloud,Y,Occasionnel,7,7
0,6,1,477,2,4,Autre,Y,Occasionnel,0,0
0,3,1,478,1,1,Entrepreunariat,Y,Frequent,1,2
0,6,1,479,1,5,Transformation Digitale,Y,Aucun,0,0
1,2,1,481,3,4,Transformation Digitale,Y,Frequent,1,12
0,2,1,482,1,4,Transformation Digitale,Y,Occasionnel,1,2
1,3,1,483,10,4,Infra & Cloud,Y,Occasionnel,1,7
0,3,1,484,9,2,Transformation Digitale,Y,Aucun,2,2
0,2,1,485,5,3,Marketing,Y,Occasionnel,0,0
1,3,1,486,10,3,Transformation Digitale,Y,Occasionnel,0,3
0,2,1,487,7,4,Transformation Digitale,Y,Aucun,0,0
0,5,1,488,4,3,Marketing,Y,Frequent,7,7
0,2,1,491,10,3,Entrepreunariat,Y,Occasionnel,1,3
2,6,1,492,22,2,Marketing,Y,Occasionnel,1,0
0,5,1,493,9,4,Infra & Cloud,Y,Occasionnel,2,2
0,0,1,494,12,3,Infra & Cloud,Y,Occasionnel,0,0
0,4,1,495,23,3,Infra & Cloud,Y,Occasionnel,1,2
0,5,1,496,9,4,Infra & Cloud,Y,Occasionnel,0,0
1,2,1,497,1,2,Transformation Digitale,Y,Occasionnel,0,4
0,1,1,498,9,4,Infra & Cloud,Y,Occasionnel,0,7
0,2,1,499,7,3,Autre,Y,Occasionnel,0,0
1,2,1,500,14,2,Infra & Cloud,Y,Occasionnel,0,7
1,3,1,501,2,3,Infra & Cloud,Y,Occasionnel,2,2
0,3,1,502,19,3,Marketing,Y,Aucun,0,4
0,2,1,505,2,3,Infra & Cloud,Y,Occasionnel,1,2
1,2,1,507,10,4,Marketing,Y,Occasionnel,0,3
1,3,1,508,2,1,Entrepreunariat,Y,Occasionnel,0,0
0,2,1,510,3,1,Entrepreunariat,Y,Frequent,0,4
1,1,1,511,11,3,Transformation Digitale,Y,Occasionnel,1,2
2,2,1,513,2,2,Transformation Digitale,Y,Occasionnel,9,0
0,4,1,514,4,3,Entrepreunariat,Y,Frequent,0,0
1,2,1,515,14,3,Infra & Cloud,Y,Occasionnel,12,17
2,5,1,516,2,2,Marketing,Y,Occasionnel,1,3
1,5,1,517,1,4,Infra & Cloud,Y,Occasionnel,1,2
0,2,1,518,10,4,Infra & Cloud,Y,Occasionnel,0,1
1,3,1,520,12,3,Infra & Cloud,Y,Occasionnel,3,9
1,3,1,521,2,3,Transformation Digitale,Y,Occasionnel,0,0
1,4,1,522,5,2,Transformation Digitale,Y,Occasionnel,1,2
1,3,1,523,4,4,Marketing,Y,Aucun,1,2
1,5,1,524,7,2,Transformation Digitale,Y,Occasionnel,3,12
1,1,1,525,21,3,Transformation Digitale,Y,Frequent,1,2
0,3,1,526,8,4,Autre,Y,Occasionnel,0,2
0,3,1,527,4,2,Infra & Cloud,Y,Occasionnel,1,3
2,2,1,529,25,5,Transformation Digitale,Y,Aucun,10,7
1,3,1,530,1,2,Infra & Cloud,Y,Occasionnel,3,2
1,3,1,531,1,1,Infra & Cloud,Y,Frequent,1,6
3,0,1,532,6,3,Infra & Cloud,Y,Frequent,7,7
0,6,1,533,12,3,Entrepreunariat,Y,Occasionnel,4,4
1,2,1,534,1,3,Marketing,Y,Occasionnel,0,7
1,2,1,536,17,2,Transformation Digitale,Y,Occasionnel,1,8
1,5,1,538,3,3,Transformation Digitale,Y,Occasionnel,0,2
0,4,1,543,3,3,Transformation Digitale,Y,Occasionnel,0,4
2,3,1,544,10,2,Infra & Cloud,Y,Occasionnel,0,2
